district,disaster_type,month,district_monthly_count
Kozhikode,Flood,3,1
Kozhikode,Flood,8,1
Kozhikode,Flood,10,2
Kozhikode,Flood,11,1
Kozhikode,Flood,12,1
Kozhikode,Landslide,6,1
Kozhipilly In Velliyamattom Village Under Thodupuzha Taluk,Landslide,7,1
Krishna,Flood,2,1
Krishna,Flood,8,3
Krishna/Guntur,Cyclone,5,4
Krishna/Guntur,Cyclone,9,2
Krishna/Guntur,Cyclone,10,8
Krishna/Guntur,Cyclone,11,5
Krishna/Guntur,Cyclone,12,3
Krishnanagar,Earthquake,9,1
"Kulamavu Region, Kerala",Landslide,5,1
"Kulashekara-Konguru Mutt Road (Kongoor Mutt Road) Near Mangaluru Junction-Panambur Railway Line, Near Mangaluru, India",Landslide,7,1
"Kulgadi, Doda-Kishtwar Highway (Nh-1B)",Landslide,12,1
Kulgam,Flood,2,1
Kullan,Landslide,7,1
Kullu,Flood,1,1
Kullu,Flood,5,1
Kullu,Flood,10,2
Kullu,Landslide,7,5
"Kullu Village(Or District?) Below Agricultural Lands, Himachal Pradesh",Landslide,9,1
"Kullu, Himachal Pradesh",Landslide,11,1
Kullu-Anni Highway,Landslide,8,1
"Kullu-Manali Rd, Himachal Pradesh",Landslide,5,1
Kullu-Manali-Rohtang,Landslide,8,1
Kultali,Earthquake,6,1
"Kumaon, Uttarakhand",Landslide,7,1
"Kumarhatti-Nahan Road, Himachal Pradesh",Landslide,9,1
"Kundial Village(?) Or Bopa Pull(?) Of Kashtigarh(Kastigarh )(?) Or Bhogal Village(?), Doda District, Jammu",Landslide,4,1
"Kunjuthanni, Idukki, Kerala",Landslide,4,1
Kurla Mumbai,Flood,7,1
Kurnool,Flood,1,1
Kurnool,Flood,2,1
Kurnool,Flood,8,3
Kurnool,Landslide,6,1
Kurseong,Landslide,1,1
Kurseong,Landslide,2,1
Kurseong,Landslide,7,2
Kurseong Sub Division,Landslide,6,1
"Kurseong Sub Division, Mamring",Landslide,6,1
"Kurseong Sub-Division, Road Between Kurseong And New Jalpaiguri",Landslide,6,1
"Kurseong, Darjeeling, West Bengal",Landslide,5,1
"Kurseong, Darjeeling, West Bengal",Landslide,8,1
Kutch,Cyclone,7,2
Kutch,Earthquake,1,3
Kutch,Earthquake,2,2
Kutch,Earthquake,3,2
Kutch,Earthquake,4,5
Kutch,Earthquake,5,2
Kutch,Earthquake,6,3
Kutch,Earthquake,7,2
Kutch,Earthquake,8,4
Kutch,Earthquake,9,2
Kutch,Earthquake,10,4
Kutch,Earthquake,11,1
Kutch,Earthquake,12,2
Kutch,Flood,5,1
"Kuthur Â€“ Huker Road Via Y Anner, Chessore, Nagaland",Landslide,7,1
Kuzhithura-Erannial(Erani)(?) Section Of Nagercoil-Thiruvananthapuram Railway,Landslide,9,1
Kyelang,Earthquake,2,1
Kyelang,Earthquake,4,1
Kyelang,Earthquake,5,1
Kyelang,Earthquake,6,1
Kyelang,Earthquake,7,3
Kyelang,Earthquake,12,1
L?La,Earthquake,1,1
L?La,Earthquake,12,1
L?Nja,Earthquake,11,1
"Lachen, Sikkim",Landslide,3,1
"Ladakh, Leh",Landslide,7,1
Laden In Chadoora,Landslide,3,1
"Laghama(?), Uri Sector, Baramulla District,Jammu And Kashmir",Landslide,5,1
Lahaul Spiti,Landslide,7,3
"Laipuitland , Aizawl, Mizoram",Landslide,11,1
Lakhimpur,Flood,1,2
Lakhimpur,Flood,3,1
Lakhimpur,Flood,7,4
Lakhimpur,Flood,9,1
"Lakhimpur District, Bihpuria, Assam",Landslide,6,1
Lakhipur,Earthquake,4,3
Lakhipur,Earthquake,5,1
Lakhipur,Earthquake,8,2
Lakhipur,Earthquake,9,1
Lakhipur,Earthquake,10,1
Lakhipur,Landslide,7,1
Lakhisarai,Flood,3,1
Lalmati,Landslide,9,1
Lalunggaon Near Gorchuk Area,Landslide,6,1
"Lalunggaon, Guwahati,  Assam",Landslide,6,1
Lambagad,Landslide,8,1
"Lambagad(?), Rishikesh-Badrinath Highway, Uttarakhand",Landslide,8,1
Lambagadh,Landslide,8,1
"Lana Mashoor(?) And Lana Polar(?) And Sewn(?) Villages, Sirmaur District",Landslide,7,1
"Langthabal Khoupum, Imphal, Manipur",Landslide,3,1
"Lasumi Village In Phek District, Kohima",Landslide,6,1
"Latiefabad(?) And Khawar(Kawhar)(?) Hamlets, Sheeri(?) Area, Baramulla District",Landslide,6,1
Latur,Earthquake,11,1
Latur,Flood,2,1
Latur,Flood,7,1
"Lava, Kalimpong",Landslide,6,1
"Lavasa Near Ekaant Hotel Resort In Davse, Pune District, India",Landslide,3,1
Lawngtlai,Landslide,7,1
Legship,Landslide,12,1
Leh,Earthquake,1,4
Leh,Earthquake,2,1
Leh,Earthquake,3,2
Leh,Earthquake,6,2
Leh,Earthquake,7,1
Leh,Earthquake,8,3
Leh,Earthquake,9,1
Leh,Earthquake,10,1
Leh,Earthquake,11,1
Leh,Earthquake,12,3
Leh,Flood,8,1
Leh,Landslide,8,1
Leh / Kargil,Earthquake,1,6
Leh / Kargil,Earthquake,2,7
Leh / Kargil,Earthquake,3,6
Leh / Kargil,Earthquake,4,5
Leh / Kargil,Earthquake,5,8
Leh / Kargil,Earthquake,6,4
Leh / Kargil,Earthquake,7,4
Leh / Kargil,Earthquake,8,5
Leh / Kargil,Earthquake,9,6
Leh / Kargil,Earthquake,10,6
Leh / Kargil,Earthquake,11,8
Leh / Kargil,Earthquake,12,8
"Leh Airport, Ladakh, Jammu And Kashmir",Landslide,6,1
Leh Ladakh,Flood,8,1
Lehrakapura Village Near Shamsabad Town,Landslide,12,1
"Limbu Dhura, Tingling",Landslide,6,1
"Lohardobha Billage, Dhari, Nainital",Landslide,12,1
Lohit,Landslide,7,1
Lohit / Changlang,Earthquake,4,2
Lohit / Changlang,Earthquake,5,1
Lohit / Changlang,Earthquake,6,2
Lohit / Changlang,Earthquake,7,1
Lohit / Changlang,Earthquake,9,2
Lohit / Changlang,Earthquake,11,1
Lohit District Of Arunachal Pradesh,Landslide,8,1
"Longlem, Nagaland",Landslide,8,1
"Longsa, Nagaland",Landslide,4,1
"Lower Chandmari Area, Pwd Department, Kohima, Manipur",Landslide,10,1
"Lower Majakong Ward, Mokokchung, Nagaland, India",Landslide,6,1
"Lower Pezielietsie(Tinpati), Kohima, Manipur",Landslide,9,1
"Lower Shajouba Village Near Tadubi Along Nh 39, Manipur",Landslide,8,1
Lower Subansiri / Papum Pare,Earthquake,6,1
Lower Subansiri / Papum Pare,Earthquake,7,1
Lucknow,Flood,5,1
Lucknow,Flood,7,1
Lucknow,Flood,8,1
Lumding Railway Colony,Earthquake,6,1
Lumding Railway Colony,Earthquake,11,1
Lumding-Badarpur Section In North Cachar Hills District,Landslide,8,1
Lunglei,Earthquake,1,2
Lunglei,Earthquake,4,1
Lunglei,Earthquake,5,2
Lunglei,Earthquake,6,1
Lunglei,Earthquake,7,2
Lunglei,Earthquake,8,1
Lunglei,Earthquake,9,1
Lunglei,Landslide,7,2
M?Cherla,Earthquake,5,1
Machilipatnam,Cyclone,5,2
Machilipatnam,Cyclone,11,3
Madhepura,Flood,7,2
Madhubani,Flood,7,1
"Madibag Near Kadwad Village, Uttara Kannada District, North Karnataka",Landslide,2,1
Madikeri-Mangalore Highway,Landslide,6,1
Madurai,Flood,6,1
Magarkote,Landslide,2,1
Mahabalipuram,Cyclone,10,1
Mahabalipuram,Cyclone,11,1
Mahakali River At Bangabagad,Landslide,4,1
Maharashta On Konkan Railway Between Nivsur And Ratnagiri,Landslide,1,1
Maharashtra,Landslide,11,1
Maharashtra Coast,Cyclone,5,1
Maharashtra Coast,Cyclone,6,1
Maharashtra Coast,Cyclone,9,1
Mahbubnagar,Flood,1,1
Mahbubnagar,Flood,2,1
Mahbubnagar,Flood,6,1
"Mahendra Village, Thana Line, Tingling Garden Village In Mirik",Landslide,1,1
Mahindra,Landslide,6,1
Mahur,Earthquake,1,1
"Maighuli, Guwahati, Meghalaya",Landslide,9,1
"Main Road Between Gulem And Loliem And Cotigao, At Baddem, Goa, India",Landslide,6,1
Mainpuri,Flood,4,1
Majuli,Flood,7,2
Malappuram,Flood,1,2
Malappuram,Flood,3,2
Malappuram,Flood,10,1
Malappuram,Flood,11,1
Malappuram,Flood,12,1
Malappuram,Landslide,8,1
Malda,Cyclone,10,1
"Maletha Village, Near Badrinath",Landslide,9,1
Maligaon,Landslide,1,1
Malin Village,Landslide,7,1
"Malin, Pune, Maharashtra",Landslide,7,1
"Mall Rd, Nainital",Landslide,6,1
Malla,Landslide,8,1
"Malla, Uttarkashi, Uttarakhand",Landslide,7,1
"Malling, Himachal Pradesh",Landslide,7,1
Malpa,Landslide,8,2
Malpa Village,Landslide,8,1
"Malshej Ghat, Maharashtra",Landslide,7,1
"Malshej Ghat, Maharashtra, India",Landslide,2,1
"Malshej Ghat, Maharashtra, India",Landslide,3,1
"Malutar Tea Estate, Darjeeling, West Bengal",Landslide,8,1
Man?Li,Earthquake,1,1
Man?Li,Earthquake,5,1
Man?Li,Earthquake,7,1
Man?Li,Earthquake,10,1
Man?Li,Earthquake,12,1
Manali Highway Near Hanogi Temple In Mandi,Landslide,6,1
Manali Highway Near Shambal Village,Landslide,7,1
"Manali Kaza-Manali Road Near Kunzum Pass, Spiti Valley, Himachal Pradesh",Landslide,10,1
Manali-Chandigarh Highway,Landslide,6,1
Manali-Leh Highway,Landslide,8,1
"Manali-Leh Highway, Rohtang Pass",Landslide,8,1
"Manali-Leh Hwy, Kullu",Landslide,9,1
"Manali-Leh Road, Between Mari And Rohtang",Landslide,6,1
"Manali-Leh Road, Gulaba Near Rohtang Pass",Landslide,6,1
"Manali-Leh Road, Rohtang Pass",Landslide,7,1
"Manali-Rohtang Road, At Raninalah, Himachal Pradesh",Landslide,6,1
"Manali-Spiti Road Between Gramphu And Chhatru, Himachal Pradesh",Landslide,8,1
"Mandana(Madana) Village(?), Panchkula-Morni Rd, 20 Km From Panchkula, Haryana",Landslide,11,1
Mandi,Flood,1,1
Mandi,Flood,5,1
Mandi,Flood,6,1
Mandi,Flood,8,1
Mandi,Flood,10,2
Mandi,Landslide,7,4
Mandi Belt Along Loc,Landslide,4,1
Mandi District,Landslide,10,1
"Mandi Gurdwara, Himachal Pradesh",Landslide,7,1
"Mandi, Himachal Pradesh,",Landslide,8,1
"Mandi-Janjheli Road At Odidhar Thunag, Himachal Pradesh",Landslide,7,1
"Mandi-Kullu Highway In Mandi, Himachal Pradesh",Landslide,7,1
"Mandi-Pathankot Highway At Gumma In Mandi, Himachal Pradesh",Landslide,7,1
"Mandi-Pathankot Highway At Paddar, Himachal Pradesh",Landslide,7,1
"Mandi-Shimla Highway In Mandi, Himachal Pradesh",Landslide,7,1
Mangalore,Landslide,9,1
Mangan,Earthquake,1,1
Mangan,Earthquake,12,2
Manipur,Landslide,7,1
"Maniyarankudy, Kerala",Landslide,5,1
"Manjakuttai, Tamil Nadu, India",Landslide,7,1
Mank?Char,Earthquake,1,1
Mank?Char,Earthquake,9,1
Manoharpur,Earthquake,8,1
"Many Locations Around Namchi, Sikkim",Landslide,8,1
"Mao In Manipur, Phipema And Chunikhudima In Nagaland",Landslide,9,1
Maram (80 Km North Of Imphal),Landslide,7,1
"Maram Area In Senapati District, National Highway 39",Landslide,7,1
"Maram, Manipur",Landslide,7,1
"Maram-Purul Road, Karong Assembly Constituency Of Senapati District, Manipur",Landslide,10,1
"Marayoor In Idukki District, Kerala",Landslide,8,1
Marhi Region Of Himachal Pradesh,Landslide,3,1
Marigaon,Flood,1,2
Marigaon,Flood,3,1
Marigaon,Flood,9,1
"Matak Mahari(?), Near Dehradun, Uttarakhand",Landslide,8,1
"Mathyali Village, Jakhnidhar, Uttarakhand, India",Landslide,7,1
Mawbah Under Mawprem Area,Landslide,9,1
"Maya Bar, Thokkottu, India",Landslide,6,1
Mebua (8 Km From Seppa),Landslide,7,1
Medak,Flood,1,1
Medak,Flood,2,1
Medak,Flood,6,1
Medinipur,Flood,7,1
Medrasula Village Of Madula Panchayat Of Araku Mandal,Landslide,12,1
Meerut,Flood,12,1
Meghalaya,Landslide,9,1
Meghalaya - Assam,Earthquake,3,1
"Mehaskwal Village, Himachal Pradesh",Landslide,7,1
"Melli Chalisey, Sikkim",Landslide,8,1
Meluri Sub-Division In Phek District Of Nagaland,Landslide,2,1
"Menagarh Near Sukki On Rishikesh Â€“ Gangotri Highway, Uttarakhand",Landslide,9,1
Mendarda,Earthquake,10,1
Midnapore,Cyclone,12,1
Midnapore,Flood,7,1
Midnapore,Flood,8,1
"Milimd Nagar Slum, Ghatkopar Area In Suburban Mumbai",Landslide,7,1
Mirik,Landslide,7,1
Mirik,Landslide,12,1
"Miru, Manali-Leh Highway",Landslide,7,1
Mirzapur,Flood,5,1
Mirzapur,Flood,7,1
"Mizoram, India",Landslide,8,1
Moga,Flood,1,1
Moir?Ng,Earthquake,2,1
Mokokchung,Landslide,6,1
Mon,Earthquake,3,1
Mon,Earthquake,4,1
Mon,Earthquake,11,1
"Mon, Nagaland",Landslide,6,1
"Monkey Hill And Khandala, Maharashtra",Landslide,10,1
Morena,Flood,8,1
Morha Kalana Of Panchyat Dhannuparole In Tehsil Ramkot,Landslide,8,1
Morha-Chuhara Village In Billawar Tehsil,Landslide,8,1
Morigaon,Earthquake,12,1
Morigaon,Flood,7,2
"Mosing Village, Upper Siang District, Arunachal Pradesh",Landslide,3,1
"Mossing(Mosing) Village(?), Upper Siang District, Arunachal Pradesh",Landslide,9,1
Mount Abu,Landslide,7,1
"Mount Abu, Harna Hanuman Temple",Landslide,9,1
"Muanna Locality, Mizoram",Landslide,6,1
Mughal Road At Lal Ghulam Pahari (25 Km From Shopian),Landslide,10,1
Muktsar,Flood,1,1
"Multiple Places Along 31A, Tarkhola Area In Kalimpong District And Sevoke In Wb",Landslide,9,1
Mumbai,Flood,1,1
Mumbai,Flood,7,1
Mumbai,Landslide,6,1
Mumbai,Landslide,7,1
Mumbai-Pune Expressway Near Khandala Tunnel,Landslide,6,1
Mumbai/Raigad,Cyclone,5,1
Mumbai/Raigad,Cyclone,10,1
Mumbai/Raigad,Cyclone,11,2
"Mundral In Kishtwar District, Jammu And Kashmir",Landslide,8,1
Munger,Flood,7,1
Munjur Near Mettupalayam,Landslide,6,1
"Munnar, Idukki District, Kerala",Landslide,2,1
"Munsari Tehsil, Uttarakhand",Landslide,4,1
"Munsyari Area, Pithoragarh, Uttarakhand",Landslide,7,1
"Murghob, Tajikistan",Earthquake,1,1
"Murghob, Tajikistan",Earthquake,3,2
"Murghob, Tajikistan",Earthquake,4,3
"Murghob, Tajikistan",Earthquake,5,2
"Murghob, Tajikistan",Earthquake,6,1
"Murghob, Tajikistan",Earthquake,8,2
"Murghob, Tajikistan",Earthquake,9,2
"Murghob, Tajikistan",Earthquake,10,1
"Murghob, Tajikistan",Earthquake,11,2
Murshidabad,Flood,7,1
"Mussoorie, Uttarakhand",Landslide,7,1
"Mussoorie-Tehri Bypass, Near Landour, Uttarakhand, India",Landslide,7,1
Muttukadu,Cyclone,12,1
Muzaffarpur,Flood,7,2
Naga Gate Along The Ukhrul-Imphal Route,Landslide,7,1
Nagaon,Flood,1,2
Nagaon,Flood,3,1
Nagaon,Flood,7,2
Nagaon,Flood,9,1
Nagapattinam,Cyclone,1,1
Nagapattinam,Cyclone,11,1
Nagapattinam,Cyclone,12,4
Nagarukhra,Earthquake,1,1
"Nagercoil, Tamil Nadu",Landslide,11,1
Nagpur,Flood,6,1
Nahan Roads,Landslide,7,1
Nainital,Flood,7,1
Nainital,Landslide,7,1
"Nainital District, Uttarakhand",Landslide,9,1
"Nainital District, Uttarakhand",Landslide,12,1
"Nairpara, Kerala",Landslide,5,1
Najafgarh,Earthquake,11,1
"Nakham Bazaar, Tura, Meghalaya",Landslide,6,1
Nalbari,Flood,1,2
Nalbari,Flood,7,1
Nalbari,Flood,9,1
Naldurg,Earthquake,10,1
Nalgonda,Flood,1,1
Nalgonda,Flood,2,1
Nalgonda,Flood,6,1
Nalgonda,Flood,8,1
"Naliyani, Near Thodupuzha Town",Landslide,7,1
Nalupani Area In Uttarkashi District,Landslide,10,1
"Nalupani Area Of Uttarkashi District, Uttarakhand",Landslide,8,1
"Nalupani(?), Rishikesh-Gangotri Highway, Uttarkhand",Landslide,8,1
"Nam Nang, Gangtok",Landslide,4,1
Nambilnar,Landslide,3,1
Namchi,Landslide,7,1
Namchi,Landslide,9,1
Namchi,Landslide,10,1
"Namchi To Phongla, Namchi To Melli ,Namchi To Sumbuk",Landslide,9,1
"Namkaoluang Village, Tamenglong-Sangrung (Khongsang) Road, Nh-53, Manipur",Landslide,6,1
Nanded,Flood,2,1
Nanded,Flood,7,1
"Nandprayag, Uttarakhand, India",Landslide,6,1
Nandurbar,Flood,1,1
Nandurbar,Flood,8,1
"Nanga, Nagaland",Landslide,4,1
Narakasur,Landslide,6,1
Narayanpur,Flood,11,1
"Narendranagar Bypass On The Rishikesh-Gangotri National Highway,Tehri Garhwal District, Uttarakhand, India",Landslide,7,1
Narmadapuram,Flood,8,1
"Narundi Area Of Uri, Jammu And Kashmir",Landslide,8,1
"Narvem-Pilgao Road, Bicholim",Landslide,6,1
Nashik,Flood,1,1
Nashik,Flood,2,1
Nashik,Flood,12,1
Nasik,Flood,7,1
"Nathang Maong, Sikkim",Landslide,7,1
"Nathpa Jhulla, Between Rampur And Peo, Kinnaur, Himachal Pradesh",Landslide,9,1
"Nathpa Village, Kinnaur District, Himachal Pradesh",Landslide,6,1
"National Highway 109, Uttarakhand",Landslide,10,1
National Highway 17 Between Karwar And Ankola (,Landslide,2,1
"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Landslide,7,1
"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",Landslide,12,1
"National Highway 2, Near Kohima, Nagaland, India",Landslide,10,1
"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Landslide,7,1
"National Highway 29 Near Phesama Village, Nagaland",Landslide,7,1
"National Highway 29 Near Phesama Village, Nagaland",Landslide,12,1
National Highway 31A At Sevoke,Landslide,6,1
"National Highway 31A Between Rangpo And Tarkhola, In East Sikkim",Landslide,7,1
National Highway 31A In West Bengal'S Darjeeling District,Landslide,7,1
"National Highway 31A, Between Singtam And Rangpo",Landslide,11,1
"National Highway 31A, Darjeeling Hills",Landslide,6,1
"National Highway 4, Navi Mumbai, Maharashtra",Landslide,7,1
National Highway 44,Landslide,8,1
"National Highway 44 At Sunapur And Tongseng In Jaintia Hills District, Eastern Meghalaya",Landslide,11,1
National Highway 51,Landslide,9,1
National Highway 53 At Nungba In Tamenglong District Of Manipur,Landslide,10,1
"National Highway 53, Sinam Khul (Near Kotlen; ~25 Km From Imphal)",Landslide,6,1
"National Highway 54, At Kawnpui Town",Landslide,8,1
"National Highway 66, Connecting Kerala And Karnataka",Landslide,2,1
"National Highway 72-B, Between Paonta Sahib And Sillai, Sirmaur District, Himachal Pradesh",Landslide,6,1
National Highway At Kuliang,Landslide,8,1
"National Highway Leading To Gangotri, From Dehradun",Landslide,6,1
National Highway Leading To Kedarnath,Landslide,6,1
National Highway Leading To Yamunotri From Dehradun,Landslide,6,1
National Highway No 44 At Sonarpur In Meghalaya,Landslide,8,1
"National Highway, 45 Aizwal (Mizoram)",Landslide,9,1
National Highway-21 Near Rani-Ki-Bain,Landslide,12,1
"National Highway-39, Dimapur-Imphal Road And Another Under Kiphire District Of Nagaland",Landslide,7,1
"National Hwy 31A, Birik (Cut Off Sikkim)",Landslide,6,1
"Natl. Highway 31-A At Pani House(?), Gangtok",Landslide,4,1
Natonal Highway In Jorabat Area,Landslide,8,1
Navsari,Flood,1,1
Naya B?Z?R,Earthquake,6,1
Nayagarh,Flood,5,1
"Near A Hill At Puthuvacherry, In Peralassery In Kannur",Landslide,7,1
"Near Bagri Glacier(?), Gopeswar(Gopeshwar), Chamoli District, Uttarakhand",Landslide,9,1
"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",Landslide,6,1
"Near Chausali Village(?), Almora District, Uttarakhand",Landslide,9,1
"Near Devprayag, Rishikesh-Badrinath Hwy,",Landslide,9,1
"Near Digdol, Jammu-Srinagar Hwy, Jammu And Kashmir",Landslide,2,1
"Near Himkoti(?), On Road To Bhawan(Vaishno Devi Temple) At Katra, Jammu And Kashmir",Landslide,10,1
Near Kalijhora,Landslide,4,1
"Near Kuloor Church, In Manipur Along National Highway",Landslide,9,1
Near Meeru On Chulling-Tapri Road,Landslide,8,1
"Near Mohand, Dehradun-Delhi Hwy, Uttar Pradesh",Landslide,9,1
"Near Mt. Kamet And Ghastoli Village, Near Mana Pass, Chamoli District, Uttarakhand",Landslide,9,1
Near Nivar Station In The Ratnagiri District Of Maharashtra,Landslide,6,1
"Near Panthal, Between Ramban And Ramsu(?), On Jammu-Srinagar Hwy, Jammu And Kashmir",Landslide,7,1
"Near Rahni Nullah(?), On Manali-Rohtang Hwy, Himachal Pradesh",Landslide,9,1
"Near Ramban, Jammu-Srinagar Hwy, Jammu And Kashmir",Landslide,2,1
"Near Rampur, Himachal Pradesh",Landslide,7,1
"Near Rohtang Pass, Manali-Keylong Rd, Himachal Pradesh",Landslide,7,1
Near S Lamphei Lamkhai And Sehlon Village,Landslide,1,1
"Near Sevok(Sevoke), Highway 31A To Sikkimand Kalimpong, Hatisura(?), Darjeeling",Landslide,11,1
"Near Solan, Kalka-Shimla Hwy, Himachal Pradesh",Landslide,9,1
Near The Rohini-Sirubari Road,Landslide,8,1
"Near Tuichang(?) On Tuichang River, Aizawl-Champhai Rd, Mizoram",Landslide,9,1
"Near Tuivawl(?), Aizawl-Champhai Rd, Aizawl District, Mizoram",Landslide,9,1
Neem Ka Thana,Earthquake,5,1
"Nehrukund In Manali, Himachal Pradesh",Landslide,3,1
Nellore,Cyclone,5,1
Nellore,Cyclone,10,2
Nellore,Flood,8,1
Nellore/Spsr,Cyclone,5,1
Nellore/Spsr,Cyclone,6,1
Nellore/Spsr,Cyclone,10,11
Nellore/Spsr,Cyclone,11,8
Nellore/Spsr,Cyclone,12,1
"Netali Maneri Marg, Uttarkashi District, Uttarakhand",Landslide,7,1
New Friends Colony,Landslide,12,1
"New Land (""""New Colony"""")",Landslide,6,1
New Mhada Complex In Dindoshi,Landslide,7,1
"Ney Village, Ladakh, Jammu And Kashmir",Landslide,6,1
"Ngur, Near Mizoram-Myanmar Border, India",Landslide,7,1
"Nh 10 Between Coronation Bridge And Sevoke Kalibari, West Bengal, India",Landslide,7,1
"Nh 13 10 Kilometers From Old Ziro, Arunachal Pradesh, India",Landslide,12,1
"Nh 22, Kinnaur District",Landslide,9,1
"Nh 31A At Likhuvir(?), Near Teesta Bazar, 42Nd Km Marker(?), Kalimpong, West Bengal Cutting Off Sikkim And Kalimpong",Landslide,8,1
Nh 37,Landslide,7,1
Nh 37 At Awang Khulâ,Landslide,6,1
"Nh 39 At Kigwema(?), Between Mao Gate And Kohima, Nagaland",Landslide,8,1
"Nh 5 Near Rampur, Uttar Pradesh, India",Landslide,7,1
Nh 66 At Mudaga,Landslide,11,1
Nh 88,Landslide,9,1
Nh-05 Near Chaura Village,Landslide,8,1
"Nh-10, Sepi Jhora, Kalimpong",Landslide,7,1
"Nh-17, Panaji To Mapusa On Old Mandovi Bridge, Goa",Landslide,7,1
"Nh-1A, 7Km From Srinigar",Landslide,6,1
Nh-2 Between Senapati And Mao,Landslide,7,1
"Nh-22 Between Rampur And Recong-Peo(Reckong Peo), Himachal Pradesh",Landslide,7,1
"Nh-22 Beyond Recong-Peo(Reckong Peo),  Himachal Pradesh",Landslide,7,1
Nh-22 Near Taradevi,Landslide,7,1
"Nh-31A At Topakhani Tunnel(?) And Fruit Preservation Factory(?) And Chisopani Bridge(?), Near Singtam And Gangtok And Rangpo, Sikkim",Landslide,8,1
"Nh-39 At Ekai Village(?), 2 Km For Tadubi, Manipur",Landslide,8,1
"Nh-39 At Imphal-Moreh Section, Lokchao Largest Event",Landslide,11,1
"Nh-39 At Piphema,  6 Km Towards Dimapur From Kohima In Nagaland",Landslide,10,1
"Nh-39 At Tobio Village(?), 7 Km Form Tadubi, Manipur",Landslide,9,1
"Nh-39 In Karong Area, Manipur",Landslide,9,1
"Nh-39 Near Khongnem(?) Village, Between Imphal And Dimapur, Manipur",Landslide,9,1
"Nh-39 Near Kohima Municipality Council(Kmc) Dumping Ground, Between Zubza(Sechu) And Kohima, Nagaland",Landslide,8,1
"Nh-53 At Nungba Police Station, Kambirong(?), Manipur",Landslide,8,1
Nh-55 At Merry Villa,Landslide,6,1
Nh-61 Between Botsa And Chiechama,Landslide,1,1
"Nh-61, 1 Km Before Reaching Botsa",Landslide,11,1
Nh-62 At Sibbari,Landslide,8,1
"Nh-87 Near Naintital, Uttarakhand",Landslide,9,1
Nh10 In Rangpo,Landslide,1,1
"Nh31A, Mile 27 Near Rambi",Landslide,8,1
"Nh44, Kuliang",Landslide,6,1
"Nh44, Malidhor Area,  Baleswar",Landslide,6,1
Nh55 At Tindharia,Landslide,9,1
"Nh6, Sambalpur Town Before Mahanadi Bridge",Landslide,9,1
Nicobar,Earthquake,1,10
Nicobar,Earthquake,2,10
Nicobar,Earthquake,3,19
Nicobar,Earthquake,4,10
Nicobar,Earthquake,5,12
Nicobar,Earthquake,6,16
Nicobar,Earthquake,7,11
Nicobar,Earthquake,8,13
Nicobar,Earthquake,9,14
Nicobar,Earthquake,10,13
Nicobar,Earthquake,11,11
Nicobar,Earthquake,12,11
"Nilachal Hill, Guwahati, Assam",Landslide,6,1
"Nilambur, Malappuram, Kerala State",Landslide,9,1
Nilanga,Earthquake,9,1
Nilanga,Earthquake,10,1
Nilgiri Mountain Rail'S Barliar-Coonoor Sector,Landslide,7,1
Nilgiri Mountain Rail'S Mettupalayam-Kallar Sectors,Landslide,7,1
"Nilgiri, Nondimedu On The Ooty-Coonoor Road",Landslide,10,1
Nilgiris,Landslide,7,1
"Nimoo(Nimu)(Nimmoo) Village, Leh, Ladakh, Jammu And Kashmir",Landslide,6,1
"Nirgaddu About 4 Km From Tapovan On Rishikesh - Badrinath Route, Uttarakhand",Landslide,9,1
Nivsar Area,Landslide,7,1
"Nivsar, Maharashtra",Landslide,7,1
Nizamabad,Flood,1,1
Nizamabad,Flood,2,2
Nizamabad,Flood,6,1
"Noklak-Tuensang Road, Nagaland",Landslide,8,1
Noney,Landslide,7,1
Nongstoin,Earthquake,2,1
Nongstoin,Earthquake,5,1
Nongstoin,Earthquake,9,3
Nongstoin,Earthquake,11,1
Nongstoin,Earthquake,12,1
Nongstoin,Landslide,7,2
Noonmati,Landslide,9,1
"Noonmati Nijarapar Area Of The City, Guwahati, Assam, India",Landslide,7,1
"Noonmati, Guwahati, Assam, India",Landslide,7,1
North & Middle Andaman,Earthquake,1,17
North & Middle Andaman,Earthquake,2,12
North & Middle Andaman,Earthquake,3,17
North & Middle Andaman,Earthquake,4,18
North & Middle Andaman,Earthquake,5,17
North & Middle Andaman,Earthquake,6,15
North & Middle Andaman,Earthquake,7,16
North & Middle Andaman,Earthquake,8,16
North & Middle Andaman,Earthquake,9,14
North & Middle Andaman,Earthquake,10,16
North & Middle Andaman,Earthquake,11,16
North & Middle Andaman,Earthquake,12,13
North Lakhimpur,Landslide,10,1
"North Point Colony, Akuluto, Nagaland, India",Landslide,11,1
"North Sikkiim Highway, Periphery Of Gangtok, Sikkim East District",Landslide,5,1
North Sikkim,Earthquake,9,1
North Sikkim,Landslide,7,2
North Sikkim,Landslide,9,1
"North Skkimm Hwy Between, Chungthang And Mangan, North Skimm (9 Landslides)",Landslide,9,1
North Vanlaiphai,Earthquake,4,1
North Vanlaiphai,Earthquake,7,1
Northwestern Kashmir,Earthquake,1,1
