district,disaster_type,month,district_monthly_count
Boudh,Flood,7,2
"Brahmananda Reddy Nagar(?), Machavaram, Vijayawada City, Andhra Pradesh",Landslide,8,1
"Bridge Between Coonoor And Barliar, Tamil Nadu",Landslide,10,1
Budaun,Flood,11,1
"Bungte Chiru Village(?), Senapati District, Manipur",Landslide,8,1
Burdwan,Flood,7,1
Buxar,Flood,7,1
Byrnihat,Landslide,5,1
Cachar,Flood,1,1
Cachar / Dima Hasao,Earthquake,1,1
Cachar / Dima Hasao,Earthquake,2,2
Cachar / Dima Hasao,Earthquake,4,1
Cachar / Dima Hasao,Earthquake,5,1
Cachar / Dima Hasao,Earthquake,7,1
Cachar / Dima Hasao,Earthquake,8,2
Cachar / Dima Hasao,Earthquake,10,1
Cachar / Dima Hasao,Earthquake,11,1
Cachar / Dima Hasao,Earthquake,12,3
Canacona,Landslide,7,1
Carmel School In Palakkayam,Landslide,9,1
Ch??B?Sa,Earthquake,3,1
"Chadiyan(?) Village Near Uri, Baramulla District, Jammu And Kashmir",Landslide,5,1
"Chagoan Village Near Tapri, 220 Km From The State Capital Shimla, Kinnaur District, Himachal Pradesh",Landslide,6,1
"Chakki-Ka-Mor, About 10 Km From Parwanoo",Landslide,3,1
"Chakrata, Uttarakhand, India",Landslide,5,1
"Chakwa Bridge, 9 Kilomters Short Of Doda",Landslide,6,1
Chal?La,Earthquake,8,1
Chamba,Earthquake,2,1
Chamba,Earthquake,7,1
Chamba,Flood,1,1
Chamba,Flood,3,1
Chamba,Flood,5,1
Chamba,Flood,8,1
Chamba,Flood,10,1
Chamba,Landslide,7,3
Chamba / Kangra,Earthquake,1,1
Chamba / Kangra,Earthquake,6,3
Chamba / Kangra,Earthquake,7,1
Chamba / Kangra,Earthquake,8,1
Chamba / Kangra,Earthquake,9,1
Chamba / Kangra,Earthquake,10,2
Chamba / Kangra,Earthquake,11,2
Chamoli,Flood,3,1
Chamoli,Flood,7,1
Chamoli,Landslide,3,1
Chamoli,Landslide,7,8
Chamoli,Landslide,8,2
"Chamoli , Uttarakhand",Landslide,7,1
Chamoli / Rudraprayag,Earthquake,1,1
Chamoli / Rudraprayag,Earthquake,2,2
Chamoli / Rudraprayag,Earthquake,3,5
Chamoli / Rudraprayag,Earthquake,4,1
Chamoli / Rudraprayag,Earthquake,5,1
Chamoli / Rudraprayag,Earthquake,6,2
Chamoli / Rudraprayag,Earthquake,7,1
Chamoli / Rudraprayag,Earthquake,8,3
Chamoli / Rudraprayag,Earthquake,9,2
Chamoli / Rudraprayag,Earthquake,10,1
Chamoli / Rudraprayag,Earthquake,11,2
Chamoli / Rudraprayag,Earthquake,12,2
"Chamoli District, Uttarakhand",Landslide,7,1
"Chamoli District, Uttarakhand",Landslide,8,1
"Chamoli, Uttarakhand",Landslide,7,1
"Chamoli, Uttarakhand",Landslide,8,1
Champai,Landslide,7,2
Champawat,Earthquake,6,1
Champawat,Landslide,7,1
"Chandanpur Village, Maharajpur, Kanpur, India",Landslide,7,1
Chandel,Landslide,1,1
Chandel,Landslide,7,1
"Chandigarh-Shimla National Highway (Nh 22), Near Parwanoo, Himachal Pradesh",Landslide,8,1
"Chandoli(?) And Karchuna(?) Vilalges, Pokkhri, Chamoli, Uttarakhand, Uttranchal",Landslide,8,1
Chandrapur,Flood,6,1
Chandrapur,Flood,8,2
Chandrapur,Flood,12,1
"Charan Padika, Jammu",Landslide,6,1
Chardham Yatra,Landslide,10,1
Chatra,Flood,3,1
Chatra,Flood,9,1
"Cheeyapara Near Neriyamangalam, Kerala",Landslide,5,1
"Cheeyappara Waterfalls, Ernakulam, Kerala",Landslide,5,1
"Chembur, Mumbai, Maharashtra",Landslide,3,1
Chena Bhati In Karara,Landslide,3,1
Chennai,Cyclone,5,2
Chennai,Cyclone,9,1
Chennai,Cyclone,10,6
Chennai,Cyclone,11,5
Chennai,Cyclone,12,2
Chennai,Earthquake,9,1
Chennai,Flood,11,2
"Chetra Village, Dehradun, India",Landslide,5,1
Chh?Ta,Earthquake,10,1
Chhaprauli,Earthquake,7,1
"Chhatanga Area; Helkugad; And Netala, All On The Rishikesh-Yamunotri National Highway",Landslide,8,1
"Chhatanga(?) Village On Rishikesh-Yamunotri Highway, Uttarkashi",Landslide,5,1
"Chhatru(?), Gramphu(?)-Kaza Rd, Himachal Pradesh",Landslide,7,1
Chhindwara,Landslide,7,1
"Chhinga Veng, Aizawl",Landslide,5,1
"Chhinka Area(?), On Rishikesh-Badrinath Hwy",Landslide,4,1
"Chiechama, Nagaland",Landslide,5,1
Chikmagalur,Flood,1,1
Chikmagalur,Flood,5,1
Chikmagalur,Flood,11,1
Chincholi,Earthquake,10,1
"Chingai-Kuingai(Quingai) Route (16 Kms), Chingai Subdivision, Ukhrul District, Manipur",Landslide,7,1
"Chingai-Kuingai(Quingai) Route (16 Kms), Chingai Subdivision, Ukhrul District, Manipur",Landslide,8,1
Chinona Area In Almora District,Landslide,1,1
Chirang,Flood,1,1
Chitradurga,Flood,1,2
Chitradurga,Flood,2,1
Chittagong Impact,Cyclone,7,1
Chittagong-Wb Border,Cyclone,4,1
"Chittinagar, Vijayawada City, Andhra Pradesh",Landslide,8,1
"Choglamsar(Choklamsar) Village, Jammu And Kashmir",Landslide,6,1
Chohla,Landslide,8,1
Chohla Village Of Kajlot Panchayat,Landslide,7,1
"Chonamala, Periyamata, Vellampatta",Landslide,8,1
Chontinar Village Of Central Kashmir Budgam District,Landslide,3,1
"Chrsiturajupuram, Vijayawada, Andhra Pradesh",Landslide,10,1
"Chumukedima, Dimapur",Landslide,8,1
"Chungthang, Sikkim",Landslide,8,1
Chur?Ch?Ndpur,Earthquake,1,3
Chur?Ch?Ndpur,Earthquake,2,1
Chur?Ch?Ndpur,Earthquake,3,3
Chur?Ch?Ndpur,Earthquake,5,1
Chur?Ch?Ndpur,Earthquake,6,2
Chur?Ch?Ndpur,Earthquake,7,2
Chur?Ch?Ndpur,Earthquake,9,2
Chur?Ch?Ndpur,Earthquake,10,3
Chur?Ch?Ndpur,Earthquake,11,2
Chur?Ch?Ndpur,Earthquake,12,1
Coastal Karnataka,Landslide,6,1
Construction Site In East Kidwai Nagar,Landslide,1,1
Cooch Behar,Flood,7,1
Cox'S Bazar Impact,Cyclone,5,1
Cuddalore,Cyclone,10,1
Cuddalore,Cyclone,11,3
Cuddalore,Cyclone,12,2
Cuddalore,Flood,11,1
Cuddalore/Villupuram,Cyclone,5,4
Cuddalore/Villupuram,Cyclone,10,6
Cuddalore/Villupuram,Cyclone,11,10
Cuddalore/Villupuram,Cyclone,12,6
Cuddappa,Landslide,6,1
"Cuddegal In Sanvordem, Outside The Mining Lease Area",Landslide,6,1
