grid_cell,disaster_type,month,grid_monthly_count
13.3_92.3,Earthquake,1,1
13.3_92.3,Earthquake,12,1
13.3_93.0,Earthquake,3,1
13.3_93.4,Earthquake,5,1
13.3_93.6,Earthquake,8,1
13.3_93.8,Earthquake,11,1
13.4_80.4,Cyclone,10,1
13.4_80.5,Cyclone,9,1
13.5_80.4,Cyclone,11,1
13.5_80.9,Cyclone,11,1
13.5_92.7,Earthquake,3,1
13.5_92.7,Earthquake,7,1
13.5_92.7,Earthquake,9,2
13.5_92.7,Earthquake,10,1
13.5_93.0,Earthquake,12,1
13.5_93.3,Earthquake,8,1
13.5_94.5,Earthquake,3,1
13.6_80.7,Cyclone,11,1
13.6_92.7,Earthquake,3,1
13.6_92.8,Earthquake,4,1
13.6_92.8,Earthquake,5,2
13.6_92.8,Earthquake,7,1
13.6_92.8,Earthquake,9,1
13.6_92.8,Earthquake,12,1
13.6_92.9,Earthquake,4,1
13.6_92.9,Earthquake,5,1
13.6_92.9,Earthquake,10,1
13.6_93.0,Earthquake,2,1
13.6_93.7,Earthquake,11,1
13.6_94.0,Earthquake,4,1
13.7_79.3,Landslide,11,1
13.7_92.7,Earthquake,3,1
13.7_92.8,Earthquake,1,1
13.7_93.0,Earthquake,11,1
13.7_93.1,Earthquake,7,1
13.7_93.1,Earthquake,8,1
13.7_93.1,Earthquake,10,1
13.7_93.5,Earthquake,11,1
13.7_93.8,Earthquake,10,2
13.8_80.6,Cyclone,4,1
13.8_93.0,Earthquake,12,1
13.8_93.2,Earthquake,1,1
13.8_93.5,Earthquake,8,1
13.8_93.6,Earthquake,7,1
13.8_93.6,Earthquake,11,2
13.8_93.9,Earthquake,11,1
13.9_80.3,Cyclone,11,1
13.9_92.9,Earthquake,2,1
13.9_93.0,Earthquake,2,1
13.9_93.0,Earthquake,8,1
13.9_93.1,Earthquake,8,2
13.9_93.1,Earthquake,9,1
13.9_93.9,Earthquake,2,1
14.0_74.7,Landslide,6,1
14.0_75.5,Landslide,12,1
14.0_80.2,Cyclone,10,1
14.0_80.5,Cyclone,10,1
14.0_80.5,Cyclone,11,1
14.0_80.6,Cyclone,10,1
14.0_81.0,Cyclone,10,1
14.0_92.9,Earthquake,10,1
14.0_93.0,Earthquake,2,1
14.0_93.0,Earthquake,5,1
14.0_93.0,Earthquake,10,1
14.0_93.0,Earthquake,11,1
14.0_93.1,Earthquake,1,1
14.0_93.1,Earthquake,2,1
14.0_93.1,Earthquake,3,1
14.0_93.6,Earthquake,6,1
14.0_93.6,Earthquake,7,1
14.0_93.9,Earthquake,1,1
14.1_79.9,Flood,10,1
14.1_80.3,Cyclone,12,1
14.1_80.6,Cyclone,10,1
14.1_80.8,Cyclone,1,1
14.1_92.8,Earthquake,4,1
14.1_92.9,Earthquake,6,2
14.1_92.9,Earthquake,9,1
14.1_93.0,Earthquake,3,1
14.1_93.8,Earthquake,6,1
14.1_93.8,Earthquake,8,1
14.2_73.4,Cyclone,10,1
14.2_74.8,Landslide,12,1
14.2_80.4,Cyclone,11,2
14.2_93.2,Earthquake,1,1
14.2_93.5,Earthquake,1,1
14.3_80.5,Cyclone,11,1
14.3_92.9,Earthquake,9,1
14.3_93.1,Earthquake,10,1
14.3_93.2,Earthquake,2,1
14.3_93.2,Earthquake,11,1
14.4_80.0,Cyclone,5,1
14.4_80.0,Cyclone,10,2
14.4_80.0,Flood,8,1
14.4_80.2,Cyclone,10,1
14.4_80.3,Cyclone,11,1
14.4_93.1,Earthquake,3,1
14.4_93.1,Earthquake,7,1
14.4_93.2,Earthquake,1,1
14.4_93.2,Earthquake,5,1
14.4_93.3,Earthquake,4,1
14.4_93.3,Earthquake,5,1
14.4_93.3,Earthquake,7,1
14.5_75.5,Cyclone,11,1
14.5_78.8,Landslide,6,1
14.6_80.2,Cyclone,11,1
14.7_74.3,Landslide,2,1
14.7_80.3,Cyclone,5,1
14.7_80.5,Cyclone,11,1
14.7_80.7,Cyclone,11,1
14.7_80.8,Cyclone,4,1
14.7_81.0,Cyclone,11,1
14.8_74.1,Landslide,11,1
14.8_74.2,Landslide,8,1
14.8_74.5,Landslide,2,1
14.8_80.8,Cyclone,10,1
14.9_74.6,Landslide,7,1
14.9_78.2,Flood,6,4
14.9_80.0,Cyclone,11,3
14.9_80.2,Cyclone,11,1
14.9_80.3,Cyclone,10,1
14.9_80.6,Cyclone,11,1
15.0_73.2,Cyclone,6,1
15.0_73.4,Cyclone,12,1
15.0_74.0,Landslide,2,1
15.0_74.0,Landslide,7,1
15.0_74.2,Landslide,6,1
15.0_80.0,Cyclone,12,1
15.0_80.2,Cyclone,10,2
15.0_80.3,Cyclone,10,1
15.0_81.0,Cyclone,10,1
15.0_95.5,Cyclone,4,1
15.0_96.0,Cyclone,4,1
15.1_76.9,Flood,8,1
15.1_80.1,Cyclone,10,1
15.1_80.3,Cyclone,10,1
15.2_74.1,Landslide,9,1
15.3_73.9,Landslide,6,1
