grid_cell,disaster_type,grid_avg_deaths
25.1_94.3,Landslide,0.0
25.1_94.4,Landslide,14.0
25.2_75.8,Flood,82.66666666666667
25.2_82.6,Flood,74.0
25.2_87.0,Flood,81.66666666666667
25.2_90.6,Landslide,0.0
25.2_91.5,Flood,1063.0
25.2_93.0,Landslide,2.0
25.2_93.2,Landslide,0.0
25.2_93.7,Landslide,0.0
25.2_93.8,Landslide,0.0
25.2_94.4,Landslide,0.0
25.3_83.0,Flood,109.0
25.3_92.3,Landslide,0.0
25.3_92.4,Landslide,0.0
25.3_94.0,Landslide,10.5
25.3_94.5,Landslide,0.0
25.4_81.8,Flood,125.0
25.4_86.5,Flood,55.0
25.4_88.3,Landslide,3.0
25.4_92.3,Landslide,11.0
25.4_94.0,Landslide,0.0
25.4_94.1,Landslide,0.0
25.4_94.6,Landslide,0.0
25.5_82.6,Landslide,0.0
25.5_84.5,Landslide,1.0
25.5_86.5,Flood,215.0
25.5_87.6,Flood,85.0
25.5_90.1,Landslide,6.0
25.5_90.2,Landslide,6.5
25.5_91.3,Landslide,11.0
25.5_92.2,Landslide,4.0
25.5_93.0,Landslide,0.0
25.5_93.1,Landslide,0.0
25.5_93.2,Landslide,0.0
25.5_93.4,Landslide,0.0
25.5_93.9,Landslide,0.0
25.5_94.0,Landslide,0.0
25.5_94.1,Landslide,0.0
25.6_83.6,Flood,72.5
25.6_84.0,Flood,88.0
25.6_84.4,Flood,85.0
25.6_85.1,Flood,200.0
25.6_91.9,Landslide,3.6666666666666665
25.6_93.0,Landslide,26.333333333333332
25.6_94.1,Landslide,0.0
25.7_89.9,Landslide,1.0
25.7_90.4,Landslide,0.0
25.7_93.9,Landslide,1.0
25.7_94.0,Landslide,0.0
25.7_94.1,Landslide,74.0
25.7_94.5,Landslide,11.0
25.7_94.6,Landslide,0.0
25.8_71.4,Flood,118.33333333333333
25.8_84.1,Flood,154.0
25.8_87.5,Flood,145.0
25.8_90.6,Landslide,0.0
25.8_93.8,Landslide,0.0
25.8_93.9,Landslide,0.0
25.8_94.1,Landslide,0.0
25.9_85.8,Flood,92.0
25.9_86.6,Flood,505.0
25.9_87.0,Flood,199.0
25.9_91.2,Landslide,0.0
25.9_94.2,Landslide,0.0
25.9_94.6,Landslide,0.0
25.9_94.8,Landslide,0.0
26.0_76.4,Flood,38.0
26.0_84.9,Flood,88.0
26.0_90.0,Flood,130.0
26.0_91.4,Landslide,2.0
26.0_91.9,Landslide,0.3333333333333333
26.0_94.5,Landslide,0.0
26.1_85.4,Flood,240.0
26.1_86.6,Flood,253.25
26.1_87.4,Flood,671.0
26.1_91.6,Landslide,1.0
26.1_91.7,Flood,99.125
26.1_91.7,Landslide,47.0
26.1_91.8,Landslide,1.0
26.1_91.9,Landslide,0.6666666666666666
26.1_94.2,Landslide,4.0
26.1_94.4,Landslide,0.0
26.1_94.8,Landslide,0.0
26.2_73.6,Landslide,52.0
26.2_78.2,Flood,115.0
26.2_82.6,Flood,293.0
26.2_85.9,Flood,245.0
26.2_90.6,Flood,89.33333333333333
26.2_91.7,Landslide,1.5
26.2_91.8,Landslide,1.0833333333333333
26.2_92.3,Flood,74.0
26.2_94.2,Landslide,0.0
26.2_94.5,Landslide,0.0
26.2_94.8,Landslide,0.0
26.2_94.9,Landslide,0.0
26.3_73.0,Flood,71.5
26.3_80.5,Landslide,2.0
26.3_89.4,Flood,45.0
26.3_91.0,Flood,80.6
26.3_91.2,Landslide,7.0
26.3_94.5,Landslide,0.0
26.3_94.6,Landslide,0.0
26.3_94.7,Landslide,0.0
26.4_86.1,Flood,235.0
26.4_86.2,Flood,204.0
26.4_91.4,Flood,98.0
26.4_92.7,Flood,73.0
26.4_94.9,Landslide,0.0
26.5_80.3,Flood,81.0
26.5_84.4,Flood,121.5
26.5_88.7,Flood,62.333333333333336
26.5_90.6,Flood,73.33333333333333
26.5_91.7,Landslide,2.0
26.5_94.0,Flood,78.33333333333333
26.6_85.5,Flood,168.0
26.6_92.2,Flood,7.0
26.6_92.4,Flood,120.0
26.6_93.0,Landslide,0.0
26.6_93.4,Flood,45.0
26.6_94.0,Flood,21.0
26.7_88.4,Landslide,1.0
26.7_94.7,Landslide,0.0
26.7_95.0,Landslide,0.0
26.8_81.0,Flood,56.666666666666664
26.8_82.1,Flood,100.0
26.8_83.4,Flood,145.0
26.8_84.9,Flood,125.0
26.8_88.2,Landslide,42.0
26.8_88.3,Landslide,0.0
26.8_88.4,Landslide,4.0
26.8_94.2,Flood,74.2
26.9_70.9,Flood,10.0
26.9_88.2,Landslide,10.75
26.9_88.3,Landslide,3.0625
26.9_88.4,Landslide,0.0
26.9_88.5,Landslide,0.0
26.9_95.0,Landslide,0.0
27.0_87.3,Landslide,0.0
27.0_88.2,Landslide,0.3333333333333333
27.0_88.3,Landslide,12.909090909090908
27.0_88.4,Landslide,0.6666666666666666
27.0_92.6,Landslide,5.0
27.0_93.7,Landslide,0.0
27.0_94.2,Flood,72.5
27.1_88.1,Landslide,1.5
27.1_88.2,Landslide,5.0
27.1_88.3,Landslide,7.5
27.1_88.4,Landslide,0.0
27.1_88.5,Landslide,8.636363636363637
27.1_88.7,Landslide,1.0
27.1_93.6,Landslide,15.0
27.1_93.7,Landslide,1.0
27.1_93.8,Landslide,3.5
27.1_94.0,Flood,61.0
27.2_78.0,Flood,48.0
27.2_88.4,Landslide,8.2
27.2_88.5,Landslide,0.25
27.2_88.6,Landslide,4.0
27.2_94.1,Flood,67.25
27.2_94.1,Landslide,17.0
27.3_88.1,Landslide,2.0
27.3_88.2,Landslide,5.0
27.3_88.3,Landslide,8.0
27.3_88.6,Landslide,26.428571428571427
27.3_92.9,Landslide,0.0
27.3_93.8,Landslide,1.0
27.4_88.6,Landslide,0.0
27.4_88.7,Landslide,0.0
27.4_88.8,Landslide,0.0
27.4_92.3,Landslide,0.0
27.4_92.4,Landslide,12.0
27.4_93.0,Landslide,3.0
27.4_94.9,Flood,80.0
27.5_88.4,Landslide,0.0
27.5_88.5,Landslide,0.0
27.5_88.6,Landslide,0.0
27.5_93.0,Landslide,0.0
27.5_94.6,Flood,87.66666666666667
27.5_94.9,Flood,95.0
27.5_95.4,Flood,48.0
27.6_80.1,Landslide,6.0
27.6_81.5,Flood,42.0
27.6_81.6,Flood,100.0
27.6_81.9,Flood,75.0
27.6_88.6,Landslide,0.5
27.6_88.7,Landslide,0.0
27.6_91.9,Landslide,8.5
27.6_92.0,Landslide,0.0
27.6_93.9,Landslide,0.0
27.6_95.3,Flood,96.0
27.7_88.6,Landslide,2.0
27.7_92.8,Landslide,0.0
27.8_88.6,Landslide,13.5
27.9_88.5,Landslide,22.0
27.9_93.3,Landslide,12.0
27.9_96.2,Landslide,6.0
27.9_96.9,Landslide,0.0
28.0_73.3,Flood,61.5
