state,month,state_any_monthly_count
Maharashtra,1,12
Maharashtra,2,9
Maharashtra,3,11
Maharashtra,4,6
Maharashtra,5,8
Maharashtra,6,30
Maharashtra,7,63
Maharashtra,8,26
Maharashtra,9,19
Maharashtra,10,10
Maharashtra,11,14
Maharashtra,12,13
Manipur,1,30
Manipur,2,10
Manipur,3,22
Manipur,4,22
Manipur,5,22
Manipur,6,20
Manipur,7,46
Manipur,8,32
Manipur,9,20
Manipur,10,17
Manipur,11,17
Manipur,12,16
Meghalaya,1,1
Meghalaya,2,4
Meghalaya,3,3
Meghalaya,4,7
Meghalaya,5,6
Meghalaya,6,10
Meghalaya,7,21
Meghalaya,8,14
Meghalaya,9,16
Meghalaya,10,6
Meghalaya,11,3
Meghalaya,12,5
Mizoram,1,8
Mizoram,2,4
Mizoram,3,4
Mizoram,4,3
Mizoram,5,4
Mizoram,6,4
Mizoram,7,17
Mizoram,8,6
Mizoram,9,16
Mizoram,10,5
Mizoram,11,8
Mizoram,12,5
Nagaland,1,4
Nagaland,2,10
Nagaland,3,4
Nagaland,4,14
Nagaland,5,4
Nagaland,6,13
Nagaland,7,26
Nagaland,8,22
Nagaland,9,7
Nagaland,10,4
Nagaland,11,9
Nagaland,12,6
Odisha,1,1
Odisha,2,2
Odisha,3,9
Odisha,4,2
Odisha,5,26
Odisha,6,32
Odisha,7,110
Odisha,8,68
Odisha,9,55
Odisha,10,42
Odisha,11,18
Odisha,12,6
Puducherry,2,1
Puducherry,7,8
Puducherry,10,1
Puducherry,11,4
Puducherry,12,4
Punjab,1,9
Punjab,2,4
Punjab,3,4
Punjab,4,2
Punjab,5,2
Punjab,6,3
Punjab,7,34
Punjab,8,12
Punjab,9,8
Punjab,10,4
Punjab,11,1
Punjab,12,1
Rajasthan,2,1
Rajasthan,3,3
Rajasthan,4,1
Rajasthan,5,7
Rajasthan,6,1
Rajasthan,7,23
Rajasthan,8,16
Rajasthan,9,9
Rajasthan,10,1
Rajasthan,11,10
Rajasthan,12,2
Sikkim,1,2
Sikkim,2,2
Sikkim,3,1
Sikkim,4,4
Sikkim,5,4
Sikkim,6,5
Sikkim,7,21
Sikkim,8,7
Sikkim,9,15
Sikkim,10,4
Sikkim,11,1
Sikkim,12,4
Tamil Nadu,1,8
Tamil Nadu,2,3
Tamil Nadu,3,7
Tamil Nadu,4,4
Tamil Nadu,5,12
Tamil Nadu,6,11
Tamil Nadu,7,34
Tamil Nadu,8,3
Tamil Nadu,9,9
Tamil Nadu,10,42
Tamil Nadu,11,84
Tamil Nadu,12,57
Telangana,1,6
Telangana,2,3
Telangana,5,1
Telangana,6,12
Telangana,7,1
Telangana,8,1
Telangana,9,1
Telangana,10,2
Tripura,1,1
Tripura,2,1
Tripura,3,1
Tripura,4,1
Tripura,5,4
Tripura,6,7
Tripura,7,18
Tripura,8,7
Tripura,10,1
Tripura,11,1
Tripura,12,2
Uttar Pradesh,1,1
Uttar Pradesh,2,1
Uttar Pradesh,3,3
Uttar Pradesh,4,4
Uttar Pradesh,5,12
Uttar Pradesh,6,8
Uttar Pradesh,7,73
Uttar Pradesh,8,16
Uttar Pradesh,9,21
Uttar Pradesh,10,3
Uttar Pradesh,11,8
Uttar Pradesh,12,2
Uttarakhand,1,6
Uttarakhand,2,10
Uttarakhand,3,18
Uttarakhand,4,19
Uttarakhand,5,19
Uttarakhand,6,42
Uttarakhand,7,117
Uttarakhand,8,59
Uttarakhand,9,40
Uttarakhand,10,14
Uttarakhand,11,10
Uttarakhand,12,10
West Bengal,1,9
West Bengal,2,1
West Bengal,3,5
West Bengal,4,9
West Bengal,5,30
West Bengal,6,71
West Bengal,7,149
West Bengal,8,92
West Bengal,9,64
West Bengal,10,37
West Bengal,11,21
West Bengal,12,11
