district,disaster_type,district_event_count
"Chagoan Village Near Tapri, 220 Km From The State Capital Shimla, Kinnaur District, Himachal Pradesh",Landslide,1
"Chakki-Ka-Mor, About 10 Km From Parwanoo",Landslide,1
"Chakrata, Uttarakhand, India",Landslide,1
"Chakwa Bridge, 9 Kilomters Short Of Doda",Landslide,1
Chal?La,Earthquake,1
Chamba,Earthquake,2
Chamba,Flood,5
Chamba,Landslide,3
Chamba / Kangra,Earthquake,11
Chamoli,Flood,2
Chamoli,Landslide,11
"Chamoli , Uttarakhand",Landslide,1
Chamoli / Rudraprayag,Earthquake,23
"Chamoli District, Uttarakhand",Landslide,2
"Chamoli, Uttarakhand",Landslide,2
Champai,Landslide,2
Champawat,Earthquake,1
Champawat,Landslide,1
"Chandanpur Village, Maharajpur, Kanpur, India",Landslide,1
Chandel,Landslide,2
"Chandigarh-Shimla National Highway (Nh 22), Near Parwanoo, Himachal Pradesh",Landslide,1
"Chandoli(?) And Karchuna(?) Vilalges, Pokkhri, Chamoli, Uttarakhand, Uttranchal",Landslide,1
Chandrapur,Flood,4
"Charan Padika, Jammu",Landslide,1
Chardham Yatra,Landslide,1
Chatra,Flood,2
"Cheeyapara Near Neriyamangalam, Kerala",Landslide,1
"Cheeyappara Waterfalls, Ernakulam, Kerala",Landslide,1
"Chembur, Mumbai, Maharashtra",Landslide,1
Chena Bhati In Karara,Landslide,1
Chennai,Cyclone,16
Chennai,Earthquake,1
Chennai,Flood,2
"Chetra Village, Dehradun, India",Landslide,1
Chh?Ta,Earthquake,1
Chhaprauli,Earthquake,1
"Chhatanga Area; Helkugad; And Netala, All On The Rishikesh-Yamunotri National Highway",Landslide,1
"Chhatanga(?) Village On Rishikesh-Yamunotri Highway, Uttarkashi",Landslide,1
"Chhatru(?), Gramphu(?)-Kaza Rd, Himachal Pradesh",Landslide,1
Chhindwara,Landslide,1
"Chhinga Veng, Aizawl",Landslide,1
"Chhinka Area(?), On Rishikesh-Badrinath Hwy",Landslide,1
"Chiechama, Nagaland",Landslide,1
Chikmagalur,Flood,3
Chincholi,Earthquake,1
"Chingai-Kuingai(Quingai) Route (16 Kms), Chingai Subdivision, Ukhrul District, Manipur",Landslide,2
Chinona Area In Almora District,Landslide,1
Chirang,Flood,1
Chitradurga,Flood,3
Chittagong Impact,Cyclone,1
Chittagong-Wb Border,Cyclone,1
"Chittinagar, Vijayawada City, Andhra Pradesh",Landslide,1
"Choglamsar(Choklamsar) Village, Jammu And Kashmir",Landslide,1
Chohla,Landslide,1
Chohla Village Of Kajlot Panchayat,Landslide,1
"Chonamala, Periyamata, Vellampatta",Landslide,1
Chontinar Village Of Central Kashmir Budgam District,Landslide,1
"Chrsiturajupuram, Vijayawada, Andhra Pradesh",Landslide,1
"Chumukedima, Dimapur",Landslide,1
"Chungthang, Sikkim",Landslide,1
Chur?Ch?Ndpur,Earthquake,20
Coastal Karnataka,Landslide,1
Construction Site In East Kidwai Nagar,Landslide,1
Cooch Behar,Flood,1
Cox'S Bazar Impact,Cyclone,1
Cuddalore,Cyclone,6
Cuddalore,Flood,1
Cuddalore/Villupuram,Cyclone,26
Cuddappa,Landslide,1
"Cuddegal In Sanvordem, Outside The Mining Lease Area",Landslide,1
Cuttack,Cyclone,1
Cuttack,Flood,5
D?Nh?Ta,Earthquake,1
Dabhol Village Of Maharashtra'Sâ Ratnagiriâ District,Landslide,1
Dahanu,Cyclone,1
Dakhingaon,Landslide,1
Dakshin Bastar Dantewada,Flood,1
Dakshina Kannada,Flood,4
Damoh,Flood,1
"Dapchhuah, Mamit, Mizoram",Landslide,1
Dara Gutli Village Of Uri Sector In North Kashmir'S Baramulla District,Landslide,1
"Daragaon(?), Gangtok City, Sikkim",Landslide,1
Darbhanga,Flood,2
Darjeeling,Landslide,4
Darjeeling (Between Tin Dharia And Rongtong),Landslide,1
Darjeeling / Jalpaiguri,Earthquake,6
"Darjeeling District, West Bengal, Toy Train Route",Landslide,1
"Darjeeling Heritage Railway, Darjeeling",Landslide,1
Darjeeling Hills (Lebong - 10 Km From Darjeeling,Landslide,1
