district,disaster_type,district_event_count
"Nh 39 At Kigwema(?), Between Mao Gate And Kohima, Nagaland",Landslide,1
"Nh 5 Near Rampur, Uttar Pradesh, India",Landslide,1
Nh 66 At Mudaga,Landslide,1
Nh 88,Landslide,1
Nh-05 Near Chaura Village,Landslide,1
"Nh-10, Sepi Jhora, Kalimpong",Landslide,1
"Nh-17, Panaji To Mapusa On Old Mandovi Bridge, Goa",Landslide,1
"Nh-1A, 7Km From Srinigar",Landslide,1
Nh-2 Between Senapati And Mao,Landslide,1
"Nh-22 Between Rampur And Recong-Peo(Reckong Peo), Himachal Pradesh",Landslide,1
"Nh-22 Beyond Recong-Peo(Reckong Peo),  Himachal Pradesh",Landslide,1
Nh-22 Near Taradevi,Landslide,1
"Nh-31A At Topakhani Tunnel(?) And Fruit Preservation Factory(?) And Chisopani Bridge(?), Near Singtam And Gangtok And Rangpo, Sikkim",Landslide,1
"Nh-39 At Ekai Village(?), 2 Km For Tadubi, Manipur",Landslide,1
"Nh-39 At Imphal-Moreh Section, Lokchao Largest Event",Landslide,1
"Nh-39 At Piphema,  6 Km Towards Dimapur From Kohima In Nagaland",Landslide,1
"Nh-39 At Tobio Village(?), 7 Km Form Tadubi, Manipur",Landslide,1
"Nh-39 In Karong Area, Manipur",Landslide,1
"Nh-39 Near Khongnem(?) Village, Between Imphal And Dimapur, Manipur",Landslide,1
"Nh-39 Near Kohima Municipality Council(Kmc) Dumping Ground, Between Zubza(Sechu) And Kohima, Nagaland",Landslide,1
"Nh-53 At Nungba Police Station, Kambirong(?), Manipur",Landslide,1
Nh-55 At Merry Villa,Landslide,1
Nh-61 Between Botsa And Chiechama,Landslide,1
"Nh-61, 1 Km Before Reaching Botsa",Landslide,1
Nh-62 At Sibbari,Landslide,1
"Nh-87 Near Naintital, Uttarakhand",Landslide,1
Nh10 In Rangpo,Landslide,1
"Nh31A, Mile 27 Near Rambi",Landslide,1
"Nh44, Kuliang",Landslide,1
"Nh44, Malidhor Area,  Baleswar",Landslide,1
Nh55 At Tindharia,Landslide,1
"Nh6, Sambalpur Town Before Mahanadi Bridge",Landslide,1
Nicobar,Earthquake,150
"Nilachal Hill, Guwahati, Assam",Landslide,1
"Nilambur, Malappuram, Kerala State",Landslide,1
Nilanga,Earthquake,2
Nilgiri Mountain Rail'S Barliar-Coonoor Sector,Landslide,1
Nilgiri Mountain Rail'S Mettupalayam-Kallar Sectors,Landslide,1
"Nilgiri, Nondimedu On The Ooty-Coonoor Road",Landslide,1
Nilgiris,Landslide,1
"Nimoo(Nimu)(Nimmoo) Village, Leh, Ladakh, Jammu And Kashmir",Landslide,1
"Nirgaddu About 4 Km From Tapovan On Rishikesh - Badrinath Route, Uttarakhand",Landslide,1
Nivsar Area,Landslide,1
"Nivsar, Maharashtra",Landslide,1
Nizamabad,Flood,4
"Noklak-Tuensang Road, Nagaland",Landslide,1
Noney,Landslide,1
Nongstoin,Earthquake,7
Nongstoin,Landslide,2
Noonmati,Landslide,1
"Noonmati Nijarapar Area Of The City, Guwahati, Assam, India",Landslide,1
"Noonmati, Guwahati, Assam, India",Landslide,1
North & Middle Andaman,Earthquake,187
North Lakhimpur,Landslide,1
"North Point Colony, Akuluto, Nagaland, India",Landslide,1
"North Sikkiim Highway, Periphery Of Gangtok, Sikkim East District",Landslide,1
North Sikkim,Earthquake,1
North Sikkim,Landslide,3
"North Skkimm Hwy Between, Chungthang And Mangan, North Skimm (9 Landslides)",Landslide,1
North Vanlaiphai,Earthquake,2
Northwestern Kashmir,Earthquake,2
Num?Ligarh,Earthquake,2
Nungba,Landslide,1
"Nungba, Tamenglong, Manipur",Landslide,1
"Nuranoo, Uttarkashi, Uttarakhand",Landslide,1
"Nursery, North Guwahati, Guwahati, Assam,",Landslide,1
Odisha Coast,Cyclone,99
"Old Inspection Bungalow, Bhalukpong Town, West Kameng, Arunachal Pradesh, India",Landslide,1
"Old Monastery Road, Ghum",Landslide,1
On Circular Road Near Panjtirthi,Landslide,1
"On Road Between Mon And Tobu Near Telangsao Hydro Project , Nagaland, India",Landslide,1
On The Manali Highway Near Mandi,Landslide,1
Ongole,Cyclone,1
Ooty,Landslide,1
"Ooty And Coonoor, Tamil Nadu",Landslide,1
"Ooty, India",Landslide,1
Osmanabad,Flood,2
Osmanabad,Landslide,1
P?Palkoti,Earthquake,1
P?Sigh?T,Earthquake,8
Padam,Earthquake,4
Paddhari,Earthquake,1
"Padil, Nh - 48",Landslide,1
Padmavathy Nagar In West Velachery,Landslide,1
"Paglanala Village, Dholai Block, Near Dwarbandh Locality Of The District, Cachar District (Could Only Find District) 45 Km From Silchar, Assam",Landslide,1
Pahalgam,Landslide,1
Paharpurâ Locality Inâ Koderma,Landslide,1
"Painavu, Kerala",Landslide,1
"Paingottoor, Kerala,",Landslide,1
Pal?Sb?Ri,Earthquake,2
Palakkad,Flood,5
"Palani, Dindigul District",Landslide,1
"Palani-Kodaikanal Ghat Road, Kodaikanal",Landslide,1
"Pallippady In Koruthode Panchayat, Cholathadam In Poonjar Thekkekkara Pallippady In Koruthode Panchayat And Cholathadam In Poonjar Thekkekkara Panchayat",Landslide,1
"Palomala, Thaland",Landslide,1
Pamohi,Landslide,1
Panch Mahals,Flood,1
"Pangi, Nh-22, Himachal Pradesh",Landslide,1
"Pangthang, On Road B/T Gangtok And North Sikkim",Landslide,1
Panikikata Hill,Landslide,1
Panjarpol On The Eastern Freeway,Landslide,1
Pankhabari And Rohini Routes In Kurseong,Landslide,1
Panna,Flood,1
"Panthal Area, Ramban District, Kashmir",Landslide,1
Panthal In Jammuâ€™S Ramban District On Srinagar-Jammu Highway,Landslide,1
"Panthal In Ramban District, National Highway 1; 174 Km From Jammu",Landslide,1
"Panthal, Jammu-Srinagar National Highway, Between Kashmir And The Rest Of The Country",Landslide,1
"Panthial, 170 Kilometres From Jammu, Jammu-Srinagar Highway",Landslide,1
"Panthihal Near Ramban,  Srinagar-Jammu Highway",Landslide,1
"Panthihal, Srinagar-Jammu Highway",Landslide,1
Papum Pare,Landslide,2
Paradeep,Cyclone,1
Paradip,Cyclone,3
Parbhani,Flood,1
"Parimal Underpass Near Juta Bazaar, Ahmedabad, Gujrat State",Landslide,1
"Parmandal, Jammu",Landslide,1
Parsad On Nh-8,Landslide,1
"Parsik Tunnel Between Thane And Kalyan Railway Stations, India",Landslide,1
"Parsik/ Nutan Tunnel On Central Rail, Near Diva, Mumbai, India",Landslide,1
Paschim Medinipur / Bankura,Earthquake,1
Pasighat,Flood,1
Patan,Flood,1
"Patan, Baramulla District",Landslide,1
Pathanamthitta,Flood,6
"Patlot-Aghora Road, Almora District",Landslide,1
Patna,Flood,7
Patna / Gaya,Earthquake,1
Pauri District Of Uttarakhand,Landslide,1
Pauri Garhwal,Landslide,1
"Pauri-Safdarkhal Road, Blocked At Khundadhar",Landslide,1
"Peermade(Pä«Rmed), Idukki District, Kerala",Landslide,1
"Periyanmala, Kottayam District, Kerala, India",Landslide,1
"Pernem, Goa",Landslide,1
"Peruvai-Kadengodlu Rd(?) Between Vittal And Manila(Mani?), Bantwal Tuluk, Karnataka",Landslide,1
"Phagutar Near Mahanadi, 12Km From Kurseong, Siliguri District, Darjeeling",Landslide,1
"Phase-Iii, Sector 5, New Shimla",Landslide,1
"Phc Cansaulim, Goa, India",Landslide,1
Phek,Earthquake,71
Phek,Landslide,2
"Phek, Manipur",Landslide,1
Phesama,Landslide,1
Phesama Village,Landslide,1
Phesema Area At National Highway 39,Landslide,1
"Phizo, Nagaland",Landslide,1
Phulbani,Flood,1
Phullenâ€™S Main Road,Landslide,1
Phungyar Road,Landslide,1
"Phyang Village, Leh, Ladakh, Jammu And Kashmir",Landslide,1
Pilgao-Narvem,Landslide,1
Pitampura,Earthquake,1
"Pithauragadh, Uttarakhand",Landslide,1
Pithoragarh,Earthquake,7
Pithoragarh,Flood,1
Pithoragarh,Landslide,8
Pithoragarh / Bageshwar,Earthquake,25
Pithoragarh District,Landslide,1
"Pithoragarh District, Uttarakhand",Landslide,1
"Pithoragarh Tehsil, Uttarakhand",Landslide,1
"Pithoragarh-Ghatiabgarh Road, Uttarakhand",Landslide,1
"Piyali Phukan Nagar, Guwahati, India",Landslide,1
Pokaran,Earthquake,1
"Police Cid Complex(?), Shillong, Meghalaya",Landslide,1
"Polo River At Polosang, Arunachal Pradesh",Landslide,1
Pomendi Cutting Near Ratnagiri,Landslide,1
"Pomendi Hill(?), Goa-Mumbai Konkan Railway, Both Sides Of Ratnagiri, Maharashtra",Landslide,1
Pondicherry,Cyclone,1
"Ponsuli, Goa",Landslide,1
"Poochapra(?), Near Thodupuzha, Kattappana, Kerala",Landslide,1
Poonch,Landslide,2
Poonch District,Landslide,1
"Poonch, Kashmir",Landslide,1
Porbandar,Cyclone,2
Porbandar/Junagadh,Cyclone,4
"Portions Of Nh 39, Connectin Manipur With Assam Via Nagaland",Landslide,1
"Poshiana, 27 Km Point Of Road From Bafliaz",Landslide,1
Power Lines 5 Km From Kohima,Landslide,1
Prakasam,Landslide,1
"Press Colony, Near Taradevi, Himachal Pradesh",Landslide,1
"Pub Sarania Hill, South Sarania, Guwahati, Assam, India",Landslide,1
"Puddipadi, Kozhikode, Kerala",Landslide,1
Puducherry,Flood,1
"Pulbhal(?)-Solan Rd, Himachal Pradesh",Landslide,1
"Pulloorampara, Kerala",Landslide,1
"Pullupara, Perunanthanam, Kerala",Landslide,1
Pulwama,Flood,3
Pune,Flood,3
"Purba Simna, Tripura",Landslide,1
Purbi Singhbhum,Flood,1
Puri,Cyclone,2
Puri,Flood,1
Puri/Jagatsinghpur,Cyclone,138
Purnia,Flood,1
"Pushkum In Kargil, Kashmir",Landslide,1
Putupadal Gram Panchayat In Nuagada Block,Landslide,1
"Quaritok, Uttarkashi, Uttarakhand",Landslide,1
R?Jgarh,Earthquake,1
R?Mgarh,Earthquake,1
R?Mnagar,Earthquake,1
R?Ngas,Earthquake,1
R?Par,Earthquake,8
Rabale,Landslide,1
Rahimatpur,Earthquake,2
Rahni,Landslide,1
Raichur,Flood,5
"Raigad District, Maharashtra",Landslide,1
"Raigad Fort, Raigad Fort Natural Reserve, Maharashtra, India",Landslide,1
"Rail Line Between Mulanthuruthy And Piravom Near Mulanthruth, Kerala",Landslide,1
"Railroad Between Chimidipalli And Borra Caves Stations, Andhra Pradesh",Landslide,1
Rails Between Amdalli(?) And Near Thodor(Todur) Stations Bordering Ankola And Karwar Talukas In Uttar Kanara District Of Neighbouring Karnataka,Landslide,1
"Rails Between Jatinga And Longrangjao(?), Assam",Landslide,1
"Rails Between Mahur And Wadringdisa(?), Assam",Landslide,1
"Railway Between Koraput And Rayagada In Odisha, India",Landslide,1
Railway Tracks Between Dumriput And Damanjodi,Landslide,1
"Railway Tunnel A Few Kilometres From The Haridwar Railway Station, Between Haridwar And Dehradun, Uttarakhand, India",Landslide,1
Raipur,Flood,1
Raipur / Durg,Earthquake,1
"Raj Bhavan Guwahati, Assam",Landslide,1
Rajahmundry,Flood,5
Rajapur-Vaibhavwadi Section Of The Konkan Railway,Landslide,1
"Rajeev Nagar(?) Or Narayan Nagar, Asalfa Village, Between Ghatkopar And Saki Naka Area, Somewhere Near Lal Bahadur Shastri, Andheri Suburb. Mumbai Urban Center,",Landslide,1
"Rajgarh-Habban Road, Himachal Pradesh",Landslide,1
Rajkot,Flood,1
Rajnandgaon,Flood,2
Rajouri,Flood,1
Rajouri,Landslide,2
Rakh Batla Belt In Udhampur,Landslide,1
Rakha Jaganoo,Landslide,1
Ramanathapuram,Cyclone,2
Ramanathapuram/Thanjavur,Cyclone,10
Ramban,Flood,1
Ramban,Landslide,4
Ramban District,Landslide,1
Ramban District Of Jammu And Kashmir,Landslide,1
"Ramban District, Kashmir",Landslide,1
"Ramban District, Srinagar-Jammu Highway (Khooni Nallah, Higni And Panthal)",Landslide,1
"Ramban, Kashmir",Landslide,1
"Ramban, Near Sringar-Jammu Highway",Landslide,1
"Rambara District, Uttarakhand",Landslide,1
"Ramchandi , Hailakandi District, Assam, India",Landslide,1
Ramgarh,Flood,1
Ramnagar Railway Station,Landslide,1
Ramsoo Area Of Ramban District,Landslide,1
Ramsu,Landslide,1
"Ranachatti(?), On Road To Yamunotri",Landslide,1
"Ranachatti(?), Route To Yamunotri, Garwhal Division, Uttarakhand",Landslide,1
Ranchi,Flood,2
Ranchi / Dhanbad,Earthquake,1
Rang?P?Ra,Earthquake,2
Rangareddy,Flood,1
"Rangiabong (Jorbungalow), Darjeeling, West Bengal",Landslide,1
Rangpo,Landslide,1
"Ranka, Sikkim And Louing Road",Landslide,1
Ratacherra,Landslide,1
"Ratacherra Village Along The Nh-44 Connecting To Barak Valley In Assam And Tripura, Meghalaya, Mizoramon",Landslide,1
Ratnagiri,Cyclone,1
Ratnagiri,Earthquake,26
Ratnagiri,Flood,1
Ratnagiri,Landslide,2
Rayagada,Flood,1
"Rayagada, Odisha",Landslide,1
Reasi,Flood,2
Reasi,Landslide,1
"Reasi District, Jammu And Kashmir",Landslide,1
"Reasi, Kashmir",Landslide,1
Rengpeth Village,Landslide,1
"Reshi Mohalla, Tangmarg",Landslide,1
Rewa,Flood,2
Rhodong Village Near Rhey In East Sikkim,Landslide,1
Riasi District Of Jammu And Kashmir,Landslide,1
"Rimbik, Darjeeling, West Bengal State, India",Landslide,1
Rishikesh,Landslide,1
Rishikesh- Gangotri National Highway In Maneri Area Of Uttarkashi District,Landslide,1
Rishikesh-Badrinath Highway Near Kaleshwar,Landslide,1
"Rishikesh-Badrinath Highway, Uttarakhand",Landslide,1
"Rishikesh-Badrinath Hwy., Near Sirobgarh(Sirobagad), Rudraprayag District, Uttarakhand",Landslide,1
Rishikesh-Badrinath National Highway Near Joshimath,Landslide,1
"Rishikesh-Badrinath National Highway To Rudraprayag, Chamoli, And Badrinath, Uttarakhand",Landslide,1
Rishikesh-Gangotri Highway,Landslide,1
Rishikesh-Gangotri Highway Near Dharasu-Nalupani,Landslide,1
"Rishikesh-Gangotri National Highway Near Mari Sainji Village, Uttarkashi, Uttarakhand",Landslide,1
"Rishikesh-Joshimath-Mana Road, Uttarakhand",Landslide,1
"Rishikesh-Kedarnath National Highway, Sirobagad",Landslide,1
"Rishikesh-Uttarkashi Route, Uttarakhand",Landslide,1
Rishkesh-Yamunotri Highway,Landslide,1
"Road Between Haflong And Lanka, Assam",Landslide,1
"Road Between Halfong And Redzol(?) Or Silchar, Assam",Landslide,1
"Road Between Rajouri(Rajauri) And Poonch(Punch), Jammu And Kashmir",Landslide,1
"Road Between Srinagar And Muzaffarabad Near Kaman Post In Baramulla District, Kashmir",Landslide,1
"Road From Other Districts To Hawai(Tawai?) Which Is  On Lojit River, Near Hayuliang,  Anjaw District, Arunachal Pradesh",Landslide,1
"Road From Pinjore(Pinjaur), Haryana To Nalagarh, Himachal Pradesh",Landslide,1
"Road Leading To Patala Ganga And The Ropeway In Srisailam, Andhra Pradesh, India",Landslide,1
Road Linking Sangla Valley With Recong-Peo Of Kinnaur District  At Kupaa,Landslide,1
"Road Near Manali, Kullu",Landslide,1
"Road Near Saverikadu Village(?), Between Palani And Kodaikanal, Tamil Nadu Province",Landslide,1
Road Near Tipri To Kedarnath,Landslide,1
"Road Stretch From Gammom To Chamu Village, Under Kamjong Block, Ukhrul District, Manipur",Landslide,1
"Road To Badrinath Shrine, Uttarakhand",Landslide,1
"Road To Chopal, Himachal Pradesh",Landslide,1
"Road To Kanan Veng From Hunthar Veng, Mizoram",Landslide,1
"Road To Manali, Himachal Pradesh",Landslide,1
"Road To Muanna Godown, Zuangtui, Mizoram",Landslide,1
"Road To Oting Near Longlam Village, 13 Km From Tizit Subdivision, Mon District, Nagaland",Landslide,1
"Road To Sangla And Bhaba And Sorang(?) Valleys, Kinnaur, Himachal Pradesh",Landslide,1
"Road To Sangla Valley, Near Kupa Village, Kinnaur District, Himachal Pradesh",Landslide,1
"Road To Shivpur(Shivpuri), Pauri Garhwal District, Uttarakhand",Landslide,1
"Road To Yamunotri Shrine, Uttarakashi",Landslide,1
"Roads Above Pithoragarh, Uttranchal",Landslide,1
"Roads Around Uttarkashi, Uttarakhand",Landslide,1
"Roads Between Jubbal And Rohru, Shimla, Himachal Pradesh",Landslide,1
"Roads Between Sunnu Pal And Chail, Himachal Pradesh",Landslide,1
"Roads Between Tamei(Tamma?), Kangpokpi And Chalwa, Manipur",Landslide,1
Roads From Manali To Rohtang Pass,Landslide,1
"Roads To Gangotri, Uttarakhand",Landslide,1
"Roads To Manali, Himachal Pradesh",Landslide,1
"Roads To Rani Khet(Ranikhet) And Jolle Kote(?), Uttarakhand",Landslide,1
"Rohru,Theog And Chopal Sub-Divisions, Shimla, Himachal Pradesh",Landslide,1
"Rohru-Shimla Road At Dochi, Himachal Pradesh",Landslide,1
Rohtak,Earthquake,2
"Rolep, South Sikkim( Mapping To Rhenock 12 Miles From Rolep)",Landslide,1
Rongpur Village Under Bhairabhnagar Panchayat In Karimganj District,Landslide,1
"Rongthragittim Songittal Village, Near Sibbari, South Garo Hills District, Meghalaya, India",Landslide,1
Rudraprayag,Landslide,11
"Rudraprayag, Rishikesh-Badrinath Hwy",Landslide,1
"Rudraprayag, Uttarakhand",Landslide,1
"Rudraprayag-Gaurikund Road, Uttarakhand",Landslide,1
Ruldu Bhatta Locality Near Lakkar Bazaar,Landslide,1
Rumtse Along The Manali-Leh Highwa,Landslide,1
Rupnagar,Flood,1
"Ruzapfu Valley, Kikruma Village, Phek District, Nagaland",Landslide,1
S?Dri,Earthquake,1
Sabar Kantha,Flood,1
Sabroom,Landslide,1
"Sabu(Saboo) Village, Leh, Ladakh, Jammu And Kashmir",Landslide,1
Saddal Village In Pancheri Block,Landslide,1
Sagar / Jabalpur,Earthquake,2
Sagar Island,Cyclone,2
Saharsa,Flood,2
"Sahong, Tabu And Pani Village Under Tadubi Police Station Of Senapati District, Nh-39",Landslide,1
Saiha,Earthquake,13
Saiha,Landslide,1
Sailam Village,Landslide,1
"Sainath Stone Quarry, Rikunda Village, Turbhe, Navi Mumbai, Maharashtra",Landslide,1
"Sainj, Rishikesh-Gangotri National Highway",Landslide,1
"Saki Naka In Andheri Area, Mumbai Suburb/Slum (Sakinaka Is Around 23 Miles (35 Kilometers) From Downtown Mumbai)",Landslide,1
Salem - Yercaud Ghat Road,Landslide,1
"Salut, Almora, Uttarakhand",Landslide,1
Sam?Lkha,Earthquake,1
Samastipur,Flood,3
"Samathang, Sikkim",Landslide,1
Sambalpur,Flood,2
"Samkot Village Of Pithoragarhi, Uttarakhand",Landslide,1
"Samroli, Udhampur District, Kashmir",Landslide,2
"Samroli, Udhampur District,Â Kashmir",Landslide,1
Sanasar Area Of District Ramban,Landslide,1
Sandrathi Village Of Munsiyari Block Of Pithoragarh District,Landslide,1
Sangli,Flood,1
Sangrur,Flood,1
Sanjeevinagar Area,Landslide,1
"Sanjiote Near Poonch, Kashmir",Landslide,1
Sar?Han,Earthquake,1
Saran,Flood,1
Saran (Chhapra),Flood,1
"Sarania Hills, North Guwahati, Guwahati, Assam,",Landslide,1
"Saraswati Shishu Mandir School(?), Sumgarh(Sumgad) Village(?), Bageshwar-Pindari Glacier Rd 45 Km From Bageshwar, Kapkot, Bageshwar, Uttarakhand",Landslide,1
Sarupathar,Earthquake,26
"Satgarakul Village, Karimganj, Assam State",Landslide,1
Satpuli-Kanskhet Road In Pauri Garhwal District,Landslide,1
Saurashtra,Cyclone,1
Sawai Madhopur,Flood,1
Second Hairpin Bend Near Varattupallam,Landslide,1
Sehore,Flood,1
Senam,Landslide,1
Senapati,Landslide,2
"Senapati, Manipur",Landslide,1
Sendhwa,Earthquake,1
Seoni,Earthquake,1
Seoni,Flood,1
Serchh?P,Earthquake,2
Serchhip,Landslide,1
Seri In Ramban Along Jammu-Srinagar National Highway,Landslide,1
"Seri, Ramban",Landslide,1
Several Roads In Uttarakhand,Landslide,1
"Sevoke, 20Km From Siliguri, North Eastern, India (Highway Nh31A:Coronation Bridge To The Sevoke Police Outpost Section Blocked)",Landslide,1
"Sewri(?), New Shivaji Nagar, Mumbai",Landslide,1
Sh?Hpur,Earthquake,1
Shahjahanpur,Flood,1
"Shakthinagar, Mangalore",Landslide,1
"Shakti Nagar, New Delhi",Landslide,1
"Shanna(?), Jammu Province",Landslide,1
"Shantinagar, Ponda",Landslide,1
"Shatani Nallah, Ramban District",Landslide,1
"Shayoung Ward(?), Longleng, Nagaland",Landslide,1
"Sheroora-Subardhar Village,15 Km From Bhadarwah Town",Landslide,1
"Shetani Nallah(?), Jammu-Srinagar National Highway, Jammu And Kashmir",Landslide,1
"Shetidhar Peak, Himachal Pradesh",Landslide,1
Shi Yomi,Earthquake,11
Shi Yomi / Upper Siang,Earthquake,12
Shillong,Earthquake,1
Shillong Road At Kuliang In The Jaintia Hills,Landslide,1
"Shillong, Meghalaya, India",Landslide,1
Shillong-Jowai(Jwai)-Badarpur National Highway(Nh 44) At Sunapur Village In Jaintia Hills District,Landslide,1
Shimla,Earthquake,7
Shimla,Flood,7
Shimla,Landslide,2
Shimla District,Landslide,1
"Shimla District, Himachal Pradesh",Landslide,1
"Shimla, Mandi, Solan And Sirmaur Districts",Landslide,1
Shimla-Kalka National Highway Near Shoghi,Landslide,1
"Shimla-Nahan Highway, Dosarka, Himachal Pradesh",Landslide,1
Shirpora,Landslide,1
"Shivpuri, Rishikesh-Badrinath Hwy",Landslide,1
Shopian District,Landslide,1
Shravasti,Flood,1
Sibsagar / Jorhat,Earthquake,53
"Sikkim, 13 Km North Of Gangtok",Landslide,1
"Silchar-Haflong Rd., At Reko(Rekha )(?), Near Harangajao, Barail Hills, Assam",Landslide,1
"Simhagiri Colony, Azeemabad, Pedagantyada, Visakhapatnam, Andhra Pradesh, India",Landslide,1
"Singamari, Darhelling, West Bengal",Landslide,1
Singrauli,Earthquake,1
Singtam,Landslide,1
"Singtam-Mangan Rd, Sikkim",Landslide,1
Sirmaur,Flood,3
"Sirmaur District, Himachal Pradesh",Landslide,2
"Sirmaur, Himachal Pradesh,",Landslide,1
Sirobagad Area Of Rudraprayag,Landslide,1
"Sirobagad, Rishikesh-Badrinath Highway",Landslide,1
"Sirobhgarh Bend, Srinagar-Rudraprayag Highway, Uttarakhand, Northern India",Landslide,1
Sitamarhi,Flood,1
Sitapur,Flood,2
"Siund - Neuli Rd, Neuli Shanshar, Himachal Pradesh 175123",Landslide,1
Sivasagar,Flood,3
Solan,Flood,1
Solan,Landslide,1
Solan Roads,Landslide,1
"Solan, Himachal Pradesh,",Landslide,1
Solapur,Flood,1
"Solva, Raia",Landslide,1
"Sombaria, West Sikkim",Landslide,1
"Sonabai Niwas(?), Kalwa, Mumbai",Landslide,1
"Sonachirra, Karimganj District, Assam, India",Landslide,1
"Sonaighuli Area Near Kahilipara, Guwahati City, Assam",Landslide,1
Sonepur,Flood,1
Sonitpur,Flood,4
"Sonprayag, Uttarakhand",Landslide,1
"Sonrigund Malangpora, Pulwama",Landslide,1
South 24 Parganas,Flood,1
South 24 Parganas/Sundarbans,Cyclone,3
South Andaman,Earthquake,210
South Of Kashmir,Landslide,1
South West Garo Hills,Landslide,1
Spiti,Landslide,1
"Spiti Valley, Himachal Pradesh",Landslide,1
"Srawan Village(?), Batote-Doda-Kishtwar Road, Kishtwar District",Landslide,1
Srikakulam,Cyclone,4
Srikakulam,Flood,1
Srikakulam Coast,Cyclone,1
Srinagar,Flood,2
Srinagar Muzafarabad Road,Landslide,1
"Srinagar-Garhwal Area Of Pauri District, Uttarakhand, Uttranchal",Landslide,1
"Srinagar-Jammu Highway Near Asar, Doda And Kishtwar Districts",Landslide,1
"Srinagar-Jammu Highway, Ramban District",Landslide,1
"Srinagar-Jammu Highway, Ramban, Jammu",Landslide,1
"Srinagar-Jammu Highway, RäMban District",Landslide,1
"Srinagar-Jammu Hwy, Between Sheeri And Banihal,  Jammu And Kashmir(Midpoint)",Landslide,1
Srinagar-Jammu National Highway,Landslide,1
"Srinagar-Jammu Natl. Hwy., At Digdole(Digdol)(9 Km South Of Panthal), Srinagar, Jammu And Kashmir",Landslide,1
"Srinagar-Jammu Natl. Hwy., At Panthal, Srinagar, Jammu And Kashmir",Landslide,1
Srinagar-Leh Highway At Gomri,Landslide,1
"Srinagar-Leh Highway In Shutkady Near Sonamarg, Ganderbal District, Jammu And Kashmir, India",Landslide,1
"Srinagar-Leh National Highway, Captain Mode, Kashmir Valley",Landslide,1
Srinagar-Muzaffarabad Road Near Dankhan Area In Baramulla,Landslide,1
"Srinigar-Jammu Highway, Gangroo, Udhampur",Landslide,1
Srinigar-Ladakh Highway,Landslide,1
"St Inez Construction Site, Panaji",Landslide,1
"St Mary'S Hill, 3 Km From Kurseong, West Bengal",Landslide,1
Subarnapur,Flood,2
Sukhiapokhari,Landslide,1
Sukhidhang Area Of Champawat District In Uttarakhand,Landslide,1
"Sunali, Uttarakhand",Landslide,1
Sundarbans,Cyclone,1
Sundargarh,Earthquake,1
Sundargarh / Jharsuguda,Earthquake,1
Sundarnagar,Earthquake,3
Supaul,Flood,4
Surankote In Jammu And Kashmir,Landslide,1
Surat,Cyclone,1
Surat,Flood,4
Surat / Bharuch,Earthquake,1
Surjan Village In Bani Mountainous Belt In Kathua District (,Landslide,1
"Suruhuto Town, Nagaland",Landslide,1
"Taithu Village, Churanchandpur District, Mizoram, Manipur",Landslide,1
"Takdah, West Bengal",Landslide,1
Talakebail In Vajralli Gram Panchayat In Yellapur,Landslide,1
"Taloda, Nandurbar, Maharashtra",Landslide,1
Tamabong Village In Sikkim State,Landslide,1
Tamei Constituency In Tamenlong District,Landslide,1
"Tamei, Tamenglong District On Imphal-Tamenglong (It) Road",Landslide,1
Tamenglong,Landslide,3
Tamenglong Ward No-Iv,Landslide,1
"Tamenglong, Manipur",Landslide,1
"Tamenglong- Khongsang Road, Manipur",Landslide,1
Tamil Nadu Coast,Cyclone,92
"Tanakupur-Pitoragarh Highway, Kumaon(Kumaun) Region, Uttarakhand",Landslide,1
Tapi,Flood,1
"Tapri Near Rekong Peo, Kinnaur District",Landslide,1
Tarn Taran,Flood,1
"Tathangchen, Gangtok, Sikkim",Landslide,1
Tawang,Earthquake,3
Tawang,Flood,1
"Tawang Monastery, Arunachal Pradesh",Landslide,1
"Tawang, Arunachal Pradesh",Landslide,1
"Tawari Bridge, Chamba District Of Himachal Pradesh",Landslide,1
"Techahan Ward, Mon, Nagaland, India",Landslide,1
"Tefana, Uttarakhand",Landslide,1
Tehri,Earthquake,1
Tehri,Flood,1
Tehri,Landslide,4
Tezpur,Earthquake,5
"Thadiyambadu Near Painavu, Kerala",Landslide,1
"Thampanoor, Thiruvananthapuram, Kerala",Landslide,1
Thana Village,Landslide,1
Thane,Flood,1
Thang,Earthquake,1
"Thang Bridge 10 Km From Turtuk, Leh, Jammu And Kashmir",Landslide,1
Thanmandi Area Of Rajouri,Landslide,1
"Tharon(?) And Langol Tarung Villages, Thangmeiband Constituency, Imphal, Manipur",Landslide,1
Thatichetlapalem,Landslide,1
The 10-Storeyed Hill View Building The 10-Storeyed Hill View Building,Landslide,1
The Cave Shrine Located In Trikuta Hills Of Reasi District,Landslide,1
"The Chardham Yatra, Shrines Of Badrinath, Kedarnath, Gangotri, And Yamunotri",Landslide,1
The Dangs,Flood,1
The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,Landslide,1
"The Leh-Manali Hwy, Himachal Pradesh",Landslide,1
The Ridge In Downtown Shimla,Landslide,1
"The Rishikesh-Gangotri National Highway, Sainj",Landslide,1
The Sikh Shrine In Manikaran,Landslide,1
Theni,Flood,1
"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,1
